scientificName,nameJa,assetId,status,author,source,photoUrl,licenseName,licenseUrl,credit
Acer saccharum,サトウカエデ,commons-29788701,supplementary_only,Superior National Forest,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Acer_saccharum_1-jgreenlee_(5098070608).jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"Acer saccharum 1-jgreenlee (5098070608) [Acer saccharum] — Superior National Forest / Wikimedia Commons, CC BY 2.0 (https://creativecommons.org/licenses/by/2.0); source: https://commons.wikimedia.org/wiki/File:Acer_saccharum_1-jgreenlee_(5098070608).jpg. Original attribution: Acer saccharum 1-jgreenlee. Resized and re-encoded; no subject alteration."
Acer saccharum,サトウカエデ,inat-270771956,primary_candidate,James St. John,iNaturalist,https://www.inaturalist.org/photos/270771956,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Acer saccharum [Acer saccharum] — James St. John / iNaturalist, CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/); source: https://www.inaturalist.org/photos/270771956. Original attribution: (c) James St. John, some rights reserved (CC BY). Resized and re-encoded; no subject alteration."
Acetabularia acetabulum,カサノリ,commons-9867004,primary_candidate,albert kok en:User:Albert Kok,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Acetabularia_meditarranea.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"Acetabularia meditarranea [Acetabularia acetabulum] — albert kok en:User:Albert Kok / Wikimedia Commons, CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0); source: https://commons.wikimedia.org/wiki/File:Acetabularia_meditarranea.jpg. Original attribution: en:User:Albert Kok ""I created this work entirely by myself"". [1]. Resized and re-encoded; no subject alteration."
Acetabularia acetabulum,カサノリ,inat-115808000,primary_candidate,Bernard Picton,iNaturalist,https://www.inaturalist.org/photos/115808000,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Acetabularia acetabulum [Acetabularia acetabulum] — Bernard Picton / iNaturalist, CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/); source: https://www.inaturalist.org/photos/115808000. Original attribution: (c) Bernard Picton, some rights reserved (CC BY). Resized and re-encoded; no subject alteration."
Achillea millefolium,セイヨウノコギリソウ,commons-143957639,supplementary_only,SAplants,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Achillea_millefolium_(bright).jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Achillea millefolium (bright) [Achillea millefolium] — SAplants / Wikimedia Commons, CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0); source: https://commons.wikimedia.org/wiki/File:Achillea_millefolium_(bright).jpg. Original attribution: https://commons.wikimedia.org/wiki/File:Achillea_millefolium_5Dsr_9042.jpg. Resized and re-encoded; no subject alteration."
Achillea millefolium,セイヨウノコギリソウ,commons-194838539,supplementary_only,ImagePerson,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Ichneumon_wasp_Tromatobia_ovivora_male,_bristle_fly_genus_Leschenaultia_on_Yarrow_(achillea_millefolium)_Ile_Niapiskau_8241.jpg",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,"Ichneumon wasp Tromatobia ovivora male, bristle fly genus Leschenaultia on Yarrow (achillea millefolium) Ile Niapiskau 8241 [Achillea millefolium] — ImagePerson / Wikimedia Commons, CC BY 4.0 (https://creativecommons.org/licenses/by/4.0); source: https://commons.wikimedia.org/wiki/File:Ichneumon_wasp_Tromatobia_ovivora_male,_bristle_fly_genus_Leschenaultia_on_Yarrow_(achillea_millefolium)_Ile_Niapiskau_8241.jpg. Original attribution: Own work. Resized and re-encoded; no subject alteration."
Achillea millefolium,セイヨウノコギリソウ,inat-144230937,supplementary_only,作者名未取得（CC0・出典参照）,iNaturalist,https://www.inaturalist.org/photos/144230937,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"Achillea millefolium [Achillea millefolium] — 作者名未取得（CC0・出典参照） / iNaturalist, CC0 1.0 (https://creativecommons.org/publicdomain/zero/1.0/); source: https://www.inaturalist.org/photos/144230937. Original attribution: no rights reserved. Resized and re-encoded; no subject alteration."
Acinonyx jubatus,チーター,commons-144450685,primary_candidate,AfricanConservation,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Male_cheetah_facing_left_in_South_Africa.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Male cheetah facing left in South Africa [Acinonyx jubatus] — AfricanConservation / Wikimedia Commons, CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0); source: https://commons.wikimedia.org/wiki/File:Male_cheetah_facing_left_in_South_Africa.jpg. Original attribution: Own work , photo taken at Working with Wildlife. Resized and re-encoded; no subject alteration."
Acropora palmata,エルクホーンサンゴ,inat-652846455,primary_candidate,Ryan McMinds,iNaturalist,https://www.inaturalist.org/photos/652846455,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Acropora palmata [Acropora palmata] — Ryan McMinds / iNaturalist, CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/); source: https://www.inaturalist.org/photos/652846455. Original attribution: (c) Ryan McMinds, some rights reserved (CC BY). Resized and re-encoded; no subject alteration."
Actitis macularius,アメリカイソシギ,inat-131308007,primary_candidate,作者名未取得（CC0・出典参照）,iNaturalist,https://www.inaturalist.org/photos/131308007,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"Actitis macularius [Actitis macularius] — 作者名未取得（CC0・出典参照） / iNaturalist, CC0 1.0 (https://creativecommons.org/publicdomain/zero/1.0/); source: https://www.inaturalist.org/photos/131308007. Original attribution: no rights reserved. Resized and re-encoded; no subject alteration."
Adansonia digitata,アフリカバオバブ,commons-2615710,primary_candidate,"Ferdinand Reus from Arnhem, Holland",Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Baobab_and_elephant,_Tanzania.jpg",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"Baobab and elephant, Tanzania [Adansonia digitata] — Ferdinand Reus from Arnhem, Holland / Wikimedia Commons, CC BY-SA 2.0 (https://creativecommons.org/licenses/by-sa/2.0); source: https://commons.wikimedia.org/wiki/File:Baobab_and_elephant,_Tanzania.jpg. Original attribution: Two old ones. Resized and re-encoded; no subject alteration."
Adansonia digitata,アフリカバオバブ,inat-110770618,primary_candidate,作者名未取得（CC0・出典参照）,iNaturalist,https://www.inaturalist.org/photos/110770618,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"Adansonia digitata [Adansonia digitata] — 作者名未取得（CC0・出典参照） / iNaturalist, CC0 1.0 (https://creativecommons.org/publicdomain/zero/1.0/); source: https://www.inaturalist.org/photos/110770618. Original attribution: no rights reserved. Resized and re-encoded; no subject alteration."
Aedes aegypti,ネッタイシマカ,inat-27141847,primary_candidate,作者名未取得（CC0・出典参照）,iNaturalist,https://www.inaturalist.org/photos/27141847,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"Aedes aegypti [Aedes aegypti] — 作者名未取得（CC0・出典参照） / iNaturalist, CC0 1.0 (https://creativecommons.org/publicdomain/zero/1.0/); source: https://www.inaturalist.org/photos/27141847. Original attribution: no rights reserved. Resized and re-encoded; no subject alteration."
Aegithalos caudatus,エナガ,inat-182783027,primary_candidate,Валерия Ковалева,iNaturalist,https://www.inaturalist.org/photos/182783027,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Aegithalos caudatus [Aegithalos caudatus] — Валерия Ковалева / iNaturalist, CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/); source: https://www.inaturalist.org/photos/182783027. Original attribution: (c) Валерия Ковалева, some rights reserved (CC BY). Resized and re-encoded; no subject alteration."
Aegopodium podagraria,イワミツバ,commons-148962897,primary_candidate,"Krzysztof Ziarnek, Kenraiz",Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Aegopodium_podagraria_kz05.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Aegopodium podagraria kz05 [Aegopodium podagraria] — Krzysztof Ziarnek, Kenraiz / Wikimedia Commons, CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0); source: https://commons.wikimedia.org/wiki/File:Aegopodium_podagraria_kz05.jpg. Original attribution: Own work. Resized and re-encoded; no subject alteration."
Aegopodium podagraria,イワミツバ,commons-150226954,supplementary_only,"Krzysztof Ziarnek, Kenraiz",Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Aegopodium_podagraria_kz07.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Aegopodium podagraria kz07 [Aegopodium podagraria] — Krzysztof Ziarnek, Kenraiz / Wikimedia Commons, CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0); source: https://commons.wikimedia.org/wiki/File:Aegopodium_podagraria_kz07.jpg. Original attribution: Own work. Resized and re-encoded; no subject alteration."
Aegopodium podagraria,イワミツバ,inat-418526247,supplementary_only,作者名未取得（CC0・出典参照）,iNaturalist,https://www.inaturalist.org/photos/418526247,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"Aegopodium podagraria [Aegopodium podagraria] — 作者名未取得（CC0・出典参照） / iNaturalist, CC0 1.0 (https://creativecommons.org/publicdomain/zero/1.0/); source: https://www.inaturalist.org/photos/418526247. Original attribution: no rights reserved. Resized and re-encoded; no subject alteration."
Agalychnis callidryas,アカメアマガエル,commons-24096072,primary_candidate,"Red-eyed Tree Frog (Agalychnis callidryas) 3.jpg : Geoff Gallice from Gainesville, FL, USA derivative work: B kimmel",Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Red-eyed_Tree_Frog_(Agalychnis_callidryas)_1.png,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"Red-eyed Tree Frog (Agalychnis callidryas) 1 [Agalychnis callidryas] — Red-eyed Tree Frog (Agalychnis callidryas) 3.jpg : Geoff Gallice from Gainesville, FL, USA derivative work: B kimmel / Wikimedia Commons, CC BY 2.0 (https://creativecommons.org/licenses/by/2.0); source: https://commons.wikimedia.org/wiki/File:Red-eyed_Tree_Frog_(Agalychnis_callidryas)_1.png. Original attribution: This file was derived from: Red-eyed Tree Frog (Agalychnis callidryas) 3.jpg :. Resized and re-encoded; no subject alteration."
Agalychnis callidryas,アカメアマガエル,inat-390989400,primary_candidate,作者名未取得（CC0・出典参照）,iNaturalist,https://www.inaturalist.org/photos/390989400,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"Agalychnis callidryas [Agalychnis callidryas] — 作者名未取得（CC0・出典参照） / iNaturalist, CC0 1.0 (https://creativecommons.org/publicdomain/zero/1.0/); source: https://www.inaturalist.org/photos/390989400. Original attribution: no rights reserved. Resized and re-encoded; no subject alteration."
Agaricus bisporus,マッシュルーム,commons-24843662,supplementary_only,Jerzy Opioła,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Agaricus_bisporus_G4.JPG,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"Agaricus bisporus G4 [Agaricus bisporus] — Jerzy Opioła / Wikimedia Commons, CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0); source: https://commons.wikimedia.org/wiki/File:Agaricus_bisporus_G4.JPG. Original attribution: Own work. Resized and re-encoded; no subject alteration."
Agaricus bisporus,マッシュルーム,commons-82484727,supplementary_only,Milimidragan 92,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Agaricus_bisporus,_Agaricaceae_01.jpg",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Agaricus bisporus, Agaricaceae 01 [Agaricus bisporus] — Milimidragan 92 / Wikimedia Commons, CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0); source: https://commons.wikimedia.org/wiki/File:Agaricus_bisporus,_Agaricaceae_01.jpg. Original attribution: Own work. Resized and re-encoded; no subject alteration."
Agelaius phoeniceus,ハゴロモガラス,inat-137233980,primary_candidate,作者名未取得（CC0・出典参照）,iNaturalist,https://www.inaturalist.org/photos/137233980,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"Agelaius phoeniceus [Agelaius phoeniceus] — 作者名未取得（CC0・出典参照） / iNaturalist, CC0 1.0 (https://creativecommons.org/publicdomain/zero/1.0/); source: https://www.inaturalist.org/photos/137233980. Original attribution: no rights reserved. Resized and re-encoded; no subject alteration."
Ageratina altissima,マルバフジバカマ,commons-141516905,supplementary_only,"Krzysztof Ziarnek, Kenraiz",Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Ageratina_altissima_kz04.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Ageratina altissima kz04 [Ageratina altissima] — Krzysztof Ziarnek, Kenraiz / Wikimedia Commons, CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0); source: https://commons.wikimedia.org/wiki/File:Ageratina_altissima_kz04.jpg. Original attribution: Own work. Resized and re-encoded; no subject alteration."
Ageratina altissima,マルバフジバカマ,commons-91332724,supplementary_only,"Krzysztof Ziarnek, Kenraiz",Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Ageratina_altissima_kz02.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Ageratina altissima kz02 [Ageratina altissima] — Krzysztof Ziarnek, Kenraiz / Wikimedia Commons, CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0); source: https://commons.wikimedia.org/wiki/File:Ageratina_altissima_kz02.jpg. Original attribution: Own work. Resized and re-encoded; no subject alteration."
Aglais io,クジャクチョウ,inat-4710619,primary_candidate,S. Rae,iNaturalist,https://www.inaturalist.org/photos/4710619,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Aglais io [Aglais io] — S. Rae / iNaturalist, CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/); source: https://www.inaturalist.org/photos/4710619. Original attribution: (c) S. Rae, some rights reserved (CC BY). Resized and re-encoded; no subject alteration."
Aglais urticae,コヒオドシ,inat-48011428,primary_candidate,Jon Sullivan,iNaturalist,https://www.inaturalist.org/photos/48011428,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Aglais urticae [Aglais urticae] — Jon Sullivan / iNaturalist, CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/); source: https://www.inaturalist.org/photos/48011428. Original attribution: (c) Jon Sullivan, some rights reserved (CC BY). Resized and re-encoded; no subject alteration."
Ailanthus altissima,ニワウルシ,commons-311698,primary_candidate,Darkone ( talk · contribs ),Wikimedia Commons,https://commons.wikimedia.org/wiki/File:G%C3%B6tterbaum_(Ailanthus_altissima).jpg,CC BY-SA 2.5,https://creativecommons.org/licenses/by-sa/2.5,"Götterbaum (Ailanthus altissima) [Ailanthus altissima] — Darkone ( talk · contribs ) / Wikimedia Commons, CC BY-SA 2.5 (https://creativecommons.org/licenses/by-sa/2.5); source: https://commons.wikimedia.org/wiki/File:G%C3%B6tterbaum_(Ailanthus_altissima).jpg. Original attribution: Own work. Resized and re-encoded; no subject alteration."
Ailanthus altissima,ニワウルシ,commons-52384738,supplementary_only,Hexafluoride,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Tree_of_Heaven_(Ailanthus_altissima)_-_Resprout_from_a_stump.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Tree of Heaven (Ailanthus altissima) - Resprout from a stump [Ailanthus altissima] — Hexafluoride / Wikimedia Commons, CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0); source: https://commons.wikimedia.org/wiki/File:Tree_of_Heaven_(Ailanthus_altissima)_-_Resprout_from_a_stump.jpg. Original attribution: Own work. Resized and re-encoded; no subject alteration."
Ailanthus altissima,ニワウルシ,inat-151105808,supplementary_only,作者名未取得（CC0・出典参照）,iNaturalist,https://www.inaturalist.org/photos/151105808,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"Ailanthus altissima [Ailanthus altissima] — 作者名未取得（CC0・出典参照） / iNaturalist, CC0 1.0 (https://creativecommons.org/publicdomain/zero/1.0/); source: https://www.inaturalist.org/photos/151105808. Original attribution: no rights reserved. Resized and re-encoded; no subject alteration."
Ailuropoda melanoleuca,ジャイアントパンダ,commons-9010137,primary_candidate,J. Patrick Fischer,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Grosser_Panda.JPG,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"Grosser Panda [Ailuropoda melanoleuca] — J. Patrick Fischer / Wikimedia Commons, CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0); source: https://commons.wikimedia.org/wiki/File:Grosser_Panda.JPG. Original attribution: Own work. Resized and re-encoded; no subject alteration."
Ailurus fulgens,レッサーパンダ,commons-164597582,primary_candidate,Sunuwargr,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Red_Panda,_Gentle_Tree-Dweller_of_the_Himalayas.jpg",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Red Panda, Gentle Tree-Dweller of the Himalayas [Ailurus fulgens] — Sunuwargr / Wikimedia Commons, CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0); source: https://commons.wikimedia.org/wiki/File:Red_Panda,_Gentle_Tree-Dweller_of_the_Himalayas.jpg. Original attribution: Own work. Resized and re-encoded; no subject alteration."
